Numer KSeF;Numer faktury;Data wystawienia;Nazwa kontrahenta;NIP kontrahenta;Kwota brutto
7292224045-20260311-80660A000001-2A;2690013557;2026-03-11;OQEMA Sp. z o.o.;7292224045;708.75
5223306023-20260311-3C508B000000-B6;FVS/3/03/2026;2026-03-11;Joanna Róg Dietetyk Psychodietetyk Medycyna Stylu Życia;5223306023;350.00
5223306023-20260311-3C2B0A000000-37;FVS/2/03/2026;2026-03-11;Joanna Róg Dietetyk Psychodietetyk Medycyna Stylu Życia;5223306023;1563.00
7851561831-20260311-9F770A00019A-30;6501066828;2026-03-11;General Logistics Systems Poland sp. z o.o.;7851561831;1366.55
5252800978-20260310-6F1F98400025-A0;176672/0326/RM;2026-03-10;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;1569.76
5252800978-20260310-6F20184000DD-8F;176673/0326/RM;2026-03-10;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;1557.46
9512361131-20260309-76A93EC00000-4B;A10/3/2026;2026-03-09;Centrum Prawa Żywnościowego i Produktowego A. Szymecka-Wesołowska D.Szostek sp. k.;9512361131;2398.50
7393752343-20260309-686E90400002-66;FS 62/GDJ/03/2026;2026-03-09;Falken Trade Sp. z o.o.BDO: 000071645;7393752343;10725.60
5213842837-20260311-77AC16000000-58;00546/02/2026SPH;2026-03-09;Super-Pharm Holding Sp. z o.o.;5213842837;12300.00
5272663852-20260309-397E90400001-85;22809CABRMP260355;2026-03-09;PZU Zdrowie S.A. Oddział Centra Medyczne w Gdańsku ul. Antoniego Abrahama 1A, 80-307 Gdańsk;5272663852;815.00
9562137453-20260306-345523C00000-B0;67070811;2026-03-06;Emtor Sp. z o.o.;9562137453;869.18
5252800978-20260306-5E1D8A0000BA-2D;165784/0326/RM;2026-03-06;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;1569.76
7851561831-20260306-7D7110400000-E9;6501058202;2026-03-06;General Logistics Systems Poland sp. z o.o.;7851561831;5160.69
7812010274-20260306-51B302800000-A7;FV/UP/1371/26/3331;2026-03-06;Grupa Cichy-Zasada Spółka z ograniczoną odpowiedzialnością spółka jawna;7812010274;250.00
9562137453-20260306-3499A3C00001-CB;67070812;2026-03-06;Emtor Sp. z o.o.;9562137453;740.03
5252800978-20260306-5E1D8A000067-9E;165786/0326/RM;2026-03-06;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;12.30
5262907815-20260306-6DEE0A0000B6-54;PL-AEU-2026-117301;2026-03-06;Amazon EU S.a r.l.;5262907815;0.33
5211295779-20260306-4C6DA4400095-DE;2026/03/FS/B/067442/C;2026-03-06;Santander Leasing S.A.;5211295779;184.50
5252800978-20260306-5E1D8A000053-BD;165785/0326/RM;2026-03-06;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;2773.12
6793108059-20260305-9C4AB900011D-57;2384/2026/F/03;2026-03-05;INPOST SP. Z O.O.;6793108059;21851.20
7011118803-20260305-41DC01C00000-3C;EHR/23/03/2026;2026-03-05;EWL HR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;7011118803;22584.05
7292224045-20260305-80813B400000-A4;2690013256;2026-03-05;OQEMA Sp. z o.o.;7292224045;2398.50
5252354272-20260305-4D8F86800284-FA;019449/2026;2026-03-05;Medicover Sport sp. z o.o.;5252354272;1164.51
5842736371-20260304-6A273B400001-58;FV/2026/03/0018;2026-03-04;PROGRES HR INTERNATIONAL SP. Z O. O.;5842736371;47745.03
6040100389-20260304-6ABCA0400001-EF;FV/2026/03/0015;2026-03-04;PROGRES HR POLAND SP. Z O. O.;6040100389;19034.64
