Numer KSeF;Numer faktury;Data wystawienia;Nazwa kontrahenta;NIP kontrahenta;Kwota brutto
7773249627-20260303-7679B90001CA-5B;8364230976;2026-02-28;Raben Logistics Polska sp. z o.o.;7773249627;1264.50
5212711056-20260304-04B20680001D-E3;2563872443;2026-02-28;LYRECO POLSKA S.A.;5212711056;8030.22
8361676510-20260228-67BD3680009D-AB;2026/FVS/071887/BS;2026-02-28;Benefit Systems S.A.;8361676510;36.90
7773249627-20260303-6F723B4000BA-70;8364240935;2026-02-28;Raben Logistics Polska sp. z o.o.;7773249627;2679.99
9492107026-20260227-3BCA25000004-62;FV/xk/000006027389;2026-02-27;X-KOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;9492107026;897.98
5270104717-20260227-3A5C86000002-52;FGD/26LTLD/00638;2026-02-27;GEODIS Road Network sp. z o.o.;5270104717;10012.44
9151752211-20260227-43A2B6800001-D1;FVS/4/02/2026;2026-02-27;Bene Scriptum Barbara Bukowska;9151752211;1224.00
6211685676-20260227-4F98B680004C-C9;VUK0187/26;2026-02-27;PRZEDSIĘBIORSTWO HANDLOWE A-T SPÓŁKA AKCYJNA;6211685676;307.50
5840203593-20260227-60D21D400077-2F;FV022/152/02/2026;2026-02-27;POLITECHNIKA GDAŃSKA;5840203593;578.24
6211685676-20260227-532C9C400014-48;VU00287/26;2026-02-27;PRZEDSIĘBIORSTWO HANDLOWE A-T SPÓŁKA AKCYJNA;6211685676;738.00
9930245373-20260226-778E96800000-4D;(S)FSE-HKPL/2026/02/284;2026-02-26;Cortex Chemicals Spółka z o.o.;9930245373;5781.00
1231322715-20260226-6C9409400001-E9;F/83517/0226/INT;2026-02-26;LANTRE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1231322715;4349.00
7851561831-20260227-36189680025F-47;6501030071;2026-02-26;General Logistics Systems Poland sp. z o.o.;7851561831;5728.05
8222407812-20260309-4F823EC00001-1E;FS/26/2/2;2026-02-26;Nina Wawryszuk;8222407812;18450.00
7671004218-20260225-05E083800013-3E;FS-906022/26/MEPL1/02;2026-02-25;TERG S.A.;7671004218;2499.99
5223051066-20260225-654E1D400001-28;FS+/26/02/000121;2026-02-25;Gemini Polska Sp. z o.o.;5223051066;12300.00
7773249627-20260225-4C3F06000023-68;8364240660;2026-02-24;Raben Logistics Polska sp. z o.o.;7773249627;2929.05
7773249627-20260224-614D1D80002A-A4;8364230692;2026-02-24;Raben Logistics Polska sp. z o.o.;7773249627;1685.99
7851561831-20260224-77EB9D800062-DE;6501022226;2026-02-24;General Logistics Systems Poland sp. z o.o.;7851561831;6395.43
8992520556-20260223-0FB49D800006-DE;PL6532408;2026-02-23;OVH SP z.o.o.;8992520556;0.00
7120152851-20260224-39A29E80000E-88;26J00289;2026-02-23;PRZEDSIĘBIORSTWO PRZEMYSŁOWO- HANDLOWE "STANDARD" Sp. z o.o.;7120152851;20521.50
7671004218-20260223-6EEC9E800009-BE;FS-82849/26/ELPL1/02;2026-02-23;TERG S.A.;7671004218;299.90
7542163067-20260223-00F624800000-67;FS/074321/2026;2026-02-22;INDEX BHP Halina Proszewska;7542163067;84.00
9512120077-20260222-1DCC81C001EF-F0;F/30576235/02/26;2026-02-22;P4 sp. z o. o.;9512120077;104.55
9512120077-20260222-1E27A340002E-11;F/30611709/02/26;2026-02-22;P4 sp. z o. o.;9512120077;835.29
9512120077-20260222-1DBC81C00221-AE;F/30577077/02/26;2026-02-22;P4 sp. z o. o.;9512120077;215.25
5252800978-20260220-4E362AC001A4-F1;3251/0326/RM;2026-02-20;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;3167.55
5833210422-20260218-99F028400000-68;50/02/2026;2026-02-18;DDD LIDER DEZYNSEKCJA DEZYNFEKCJA DERATYZACJA KONRAD GLEŃSKI;5833210422;209.10
8970009678-20260218-4DF081C00008-AE;FV262600005794;2026-02-18;TIM S.A.;8970009678;367.55
8211639335-20260218-A566A3400009-D4;2602641/FV/HGD/2026;2026-02-18;Arche S.A.;8211639335;249.26
6342750606-20260219-32D023400068-6B;529805616;2026-02-18;FedEx Express Poland sp. z o.o.;6342750606;94.73
8970009678-20260217-5B63B300001E-0E;FV262600005669;2026-02-17;TIM S.A.;8970009678;312.64
8970009678-20260217-707E33000004-79;FV262600005706;2026-02-17;TIM S.A.;8970009678;53.58
5270104717-20260217-43339200000F-23;FGD/26LTLD/00425;2026-02-17;GEODIS Road Network sp. z o.o.;5270104717;12106.23
5372492924-20260217-5A50A4000003-A3;PM/096949/26/02/00062;2026-02-17;DOZ.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ;5372492924;20182.48
